"data for Bass_river(dry)" 
1.0  ! stepsize (days) 
ST1: 13149 time steps 
ST2 
ST3 
*  ! list directed format ok here 
Rain (mm),ET(mm),Runoff (mm/day),Date
0.06875,4.580645161,0.117, 1/01/1955
8.60375,4.580645161,0.117, 2/01/1955
10.4125,4.580645161,0.117, 3/01/1955
4.04625,4.580645161,0.117, 4/01/1955
0.52875,4.580645161,0.109, 5/01/1955
0.18125,4.580645161,0.109, 6/01/1955
0.10875,4.580645161,0.104, 7/01/1955
0.1375,4.580645161,0.104, 8/01/1955
0.0825,4.580645161,0.104, 9/01/1955
0,4.580645161,0.104,10/01/1955
1.03125,4.580645161,0.099,11/01/1955
0.61875,4.580645161,0.099,12/01/1955
0,4.580645161,0.099,13/01/1955
0,4.580645161,0.099,14/01/1955
0,4.580645161,0.093,15/01/1955
0,4.580645161,0.093,16/01/1955
0,4.580645161,0.093,17/01/1955
0,4.580645161,0.088,18/01/1955
0.5125,4.580645161,0.088,19/01/1955
0.3075,4.580645161,0.088,20/01/1955
0,4.580645161,0.088,21/01/1955
0,4.580645161,0.088,22/01/1955
0,4.580645161,0.088,23/01/1955
0,4.580645161,0.088,24/01/1955
0,4.580645161,0.088,25/01/1955
0.0125,4.580645161,0.083,26/01/1955
0.03875,4.580645161,0.083,27/01/1955
8.6125,4.580645161,0.083,28/01/1955
12.9875,4.580645161,0.083,29/01/1955
4.69875,4.580645161,0.083,30/01/1955
0.28125,4.580645161,0.093,31/01/1955
0.30625,3.607142857,0.088, 1/02/1955
0.22,3.607142857,0.088, 2/02/1955
0.0825,3.607142857,0.088, 3/02/1955
0,3.607142857,0.088, 4/02/1955
0.1125,3.607142857,0.088, 5/02/1955
16.705,3.607142857,0.088, 6/02/1955
9.9825,3.607142857,0.099, 7/02/1955
1.8625,3.607142857,0.099, 8/02/1955
1.7925,3.607142857,0.099, 9/02/1955
8.98625,3.607142857,0.099,10/02/1955
18.48,3.607142857,0.109,11/02/1955
12.6425,3.607142857,0.203,12/02/1955
3.77375,3.607142857,0.171,13/02/1955
12.46125,3.607142857,0.239,14/02/1955
19.15875,3.607142857,0.285,15/02/1955
8.5975,3.607142857,0.366,16/02/1955
0.825,3.607142857,0.394,17/02/1955
0.15625,3.607142857,0.394,18/02/1955
0.09375,3.607142857,0.337,19/02/1955
0,3.607142857,0.221,20/02/1955
0,3.607142857,0.135,21/02/1955
0,3.607142857,0.124,22/02/1955
0.04375,3.607142857,0.117,23/02/1955
0.02625,3.607142857,0.117,24/02/1955
0.04375,3.607142857,0.109,25/02/1955
