"data for Bass_river(wet)" 
1.0  ! stepsize (days) 
ST1: 8035 time steps 
ST2 
ST3 
*  ! list directed format ok here 
Rain (mm),ET(mm),Runoff (mm/day),Date
0,5.548387097,0.075, 1/01/1977
1.575,5.548387097,0.065, 2/01/1977
29.42625,5.548387097,0.065, 3/01/1977
35.0075,5.548387097,0.922, 4/01/1977
26.38875,5.548387097,1.575, 5/01/1977
9.3825,5.548387097,0.948, 6/01/1977
0,5.548387097,0.547, 7/01/1977
0,5.548387097,0.376, 8/01/1977
0,5.548387097,0.274, 9/01/1977
0,5.548387097,0.214,10/01/1977
1.7125,5.548387097,0.183,11/01/1977
4.065,5.548387097,0.174,12/01/1977
5.92875,5.548387097,0.18,13/01/1977
4.40125,5.548387097,0.208,14/01/1977
1.28125,5.548387097,0.22,15/01/1977
1.84625,5.548387097,0.2,16/01/1977
1.065,5.548387097,0.166,17/01/1977
0,5.548387097,0.146,18/01/1977
0,5.548387097,0.128,19/01/1977
0,5.548387097,0.117,20/01/1977
0,5.548387097,0.107,21/01/1977
0,5.548387097,0.097,22/01/1977
0,5.548387097,0.096,23/01/1977
0.49375,5.548387097,0.088,24/01/1977
0.29625,5.548387097,0.082,25/01/1977
0,5.548387097,0.078,26/01/1977
0,5.548387097,0.07,27/01/1977
0,5.548387097,0.069,28/01/1977
0,5.548387097,0.067,29/01/1977
0,5.548387097,0.065,30/01/1977
0,5.548387097,0.061,31/01/1977
0,5.25,0.057, 1/02/1977
4.08125,5.25,0.055, 2/02/1977
36.23,5.25,0.065, 3/02/1977
23.64375,5.25,0.73, 4/02/1977
5.45625,5.25,0.937, 5/02/1977
17.00875,5.25,0.529, 6/02/1977
15.01375,5.25,0.443, 7/02/1977
10.50125,5.25,0.565, 8/02/1977
6.69375,5.25,0.617, 9/02/1977
2.01,5.25,0.58,10/02/1977
1.8125,5.25,0.428,11/02/1977
1.8,5.25,0.376,12/02/1977
6.7225,5.25,0.323,13/02/1977
5.035,5.25,0.366,14/02/1977
2.10375,5.25,0.315,15/02/1977
1.43125,5.25,0.261,16/02/1977
0.38625,5.25,0.227,17/02/1977
0,5.25,0.206,18/02/1977
0.06875,5.25,0.183,19/02/1977
12.36,5.25,0.174,20/02/1977
73.72875,5.25,4.795,21/02/1977
43.07125,5.25,16.442,22/02/1977
1.96125,5.25,4.15,23/02/1977
2.4125,5.25,1.988,24/02/1977
1.4475,5.25,1.453,25/02/1977
0.675,5.25,1.268,26/02/1977
21.08,5.25,2.212,27/02/1977
16.38625,5.25,2.215,28/02/1977
15.73875,4.580645161,1.492, 1/03/1977
100.485,4.580645161,23.397, 2/03/1977
57.835,4.580645161,56.085, 3/03/1977
22.5975,4.580645161,16.698, 4/03/1977
14.69375,4.580645161,17.6, 5/03/1977
18.81375,4.580645161,8.592, 6/03/1977
22.25625,4.580645161,5.91, 7/03/1977
27.48375,4.580645161,8.514, 8/03/1977
12.7975,4.580645161,15.736, 9/03/1977
14.395,4.580645161,7.762,10/03/1977
27.58375,4.580645161,19.447,11/03/1977
