E,Q,P1,P2,P3,P4
0.16,18.66,0,0.1,0,0.3
0.13,13.1,0,0.1,0.1,0.1
0.13,13.1,0.2,0.6,0.6,1.1
0.13,13.1,0.2,0.6,0.6,1.1
0.13,13.1,0.2,0.6,0.6,1.1
0.13,13.1,0.2,0.6,0.6,1.1
0.13,13.1,1,2.5,2.5,4.5
0.11,15.4,1.6,4.2,4.2,7.6
0.11,18.25,3.5,0.8,0,1
0.11,21.1,3.5,0.8,0,1
0.11,26.85,0,0,0,0
0.11,32.6,0.3,0.1,0,0.1
0.11,38.35,0,0,0,0
0.11,44.1,0,0,0,0
0.11,106.33,0,0,0,0
0.11,204.92,0,0,0,0
0.11,298.88,0,0,0,0
0.11,332,0,0,0,0
0.11,314.43,0,0,0,0
0.1,285.29,0,0,0,0
0.1,256.14,0,0,0,0
0.1,227,0,0,0,0
0.1,216.2,0,0,0,0
0.1,205.4,0,0,0,0
0.1,194.6,0,0,0,0
0.1,183.8,0,0,0,0
0.1,173,0,0,0,0
0.1,162.2,0,0,0,0
0.1,151.4,4.9,1.1,0,1.4
0.1,140.6,4.9,1.1,0,1.4
0.1,129.8,4.9,1.1,0,1.4
0.05,119,0,0,0,0
0.05,116.39,0,0,0,0
0.05,113.78,0,0,0,0
0.05,111.17,0,0,0,0
0.05,108.56,0,0,0,0
0.05,105.94,0,0,0,0
0.05,103.33,0,0.1,0,0.1
0.05,100.72,0.1,0.2,0,0.3
0.05,98.11,0,0,0,0
0.05,95.5,0,0,0,0
0.05,92.89,0,0,0,0
0.05,90.28,0,0,0,0
0.05,87.67,0,0,0,0
0.05,85.06,0,0,0,0
0.05,82.44,0,0,0,0
0.05,79.83,0.1,0.2,0,0.3
0.05,77.22,0.1,0.2,0,0.3
0.05,74.61,0,0,0,0
0.05,72,0,0,0,0
0.05,71.25,0.1,0.1,0,0.2
0.05,70.5,0.1,0.1,0,0.2
0.05,69.75,1.5,2.1,0,3.1
0.05,69,2.5,3.6,0,5.2
0.05,68.25,0.5,0.7,0,1
0.04,67.5,0.5,0.7,0,1
0.04,72.92,0,0,0,0
0.04,78.33,8.8,3.3,14.8,0.5
0.04,83.75,0,0,0,0
0.04,89.17,0,0,0,0
0.04,94.58,0,0,0,0
0.04,100,0,0,0,0
0.04,112.33,0,0,0,0
0.04,124.67,0,0,0,0
0.04,137,7.1,2.6,11.8,0.4
0.04,149.33,0,0,0,0
0.04,161.67,0,0,0,0
0.03,174,0,0,0,0
0.03,174.81,0,0,0,0
0.03,170.82,0,0,0,0
0.03,166.84,0,0,0,0
0.03,162.86,0,0,0,0
0.03,158.88,0,0,0,0
0.03,154.89,0,0,0,0
0.03,150.91,0,0,0,0
0.03,146.93,0,0,0,0
0.03,142.95,0,0,0,0
0.03,138.97,0,0,0,0
0.03,134.98,0,0,0,0
0.13,131,0,0,0,0
0.13,127.67,0,0,0,0
0.13,124.33,0,0,0,0
0.13,121,0,0,0,0
0.13,117.67,0,0,0,0
0.13,114.33,0,0,0,0
0.13,111,0,0,0,0
0.13,109.83,0,0,0,0
0.13,108.67,0,0,0,0
0.13,107.5,0,0,0,0
0.13,106.33,0,0,0,0
0.13,105.17,0,0,0,0
0.12,104,0,0,0,0
0.12,102.09,0,0,0,0
0.12,100.18,0,0,0,0
0.12,98.28,0,0,0,0
0.12,96.37,0,0,0,0
0.12,94.46,0,0,0,0
0.12,92.55,0,0,0,0
0.12,90.64,0,0,0,0
0.12,88.73,0.1,1.1,0,1.3
0.12,86.83,0,0,0,0
0.12,84.92,0.1,0.5,0,0.6
0.12,83.01,0.1,0.5,0,0.6
0.08,81.1,0.1,0.5,0,0.6
0.08,80.18,0.9,0.9,0,1.5
0.08,79.26,1.6,1.7,0,2.8
0.08,78.33,0.3,0.3,0,0.5
0.08,77.41,0.3,0.3,0,0.5
0.08,76.49,0,0,0,0
0.08,75.57,0,0,0,0
0.08,74.64,0,0,0,0
0.08,73.72,0.4,0.4,0,0.6
0.08,72.8,0,0,0,0
0.08,71.88,0.1,0.1,0,0.1
0.08,70.96,0,0,0,0
0.07,70.03,0,0,0,0
0.07,69.11,0,0,0,0
0.07,68.19,0,0,0,0
0.07,67.27,0,0,0,0
0.07,66.34,0,0,0,0
0.07,65.42,0,0,0,0
0.07,64.5,0,0,0,0
0.07,63.52,0,0,0,0
0.07,62.53,0,0,0,0
0.07,61.55,0,0,0,0
0.07,60.57,0,0,0,0
0.07,59.58,0,0,0,0
0.1,58.6,0,0,0,0
0.1,57.65,0,0,0,0
0.1,56.7,0,0,0,0
0.1,55.75,0,0,0,0
0.1,54.8,0,0,0,0
0.1,53.85,0,0,0,0
0.1,52.9,0,0,0,0
0.1,51.95,0,0,0,0
0.1,51,0,0,0,0
0.1,50.05,0,0,0,0
0.1,49.1,0,0,0,0
0.1,48.15,0,0,0,0
0.09,47.2,0,0,0,0
0.09,46.25,0,0,0,0
0.09,45.3,0,0,0,0
0.09,44.35,0,0,0,0
0.09,43.4,0,0,0,0
0.09,42.45,0,0,0,0
0.09,41.5,0,0,0,0
0.09,41.08,0,0,0,0
0.09,40.67,0,0,0,0
0.09,40.25,0,0,0,0
0.09,39.83,0,0,0,0
0.09,39.42,0,0,0,0
0.01,39,0,0,0,0
0.01,38.6,0.1,0,0,0
0.01,38.2,0.1,0,0,0
0.01,37.8,0.1,0,0,0
0.01,37.4,0.1,0,0,0
0.01,37,0.1,0,0,0
0.01,36.6,0.1,0,0,0
0.01,35.85,0.1,0,0,0
0.01,35.1,0.1,0,0,0
0.01,34.35,0.1,0,0,0
0.01,33.6,0.1,0,0,0
0.01,32.85,0.1,0,0,0
0.01,32.1,0.1,0,0,0
0.01,31.77,0.1,0,0,0
0.01,31.43,0.1,0,0,0
0.01,31.1,0.1,0,0,0
0.01,30.77,0.1,0,0,0
0.01,30.43,0.1,0,0,0
0.01,30.1,0.1,0,0,0
